Year,Month,Commodity,Country,Currency,Price
2006,4,Corn,USA,USD,159.2192994828593
2017,1,Soybeans,China,CNY,179.98528197597807
2013,8,Corn,China,BRL,270.87300035818396
2000,9,Rice,China,USD,98.83228822674394
2022,10,Soybeans,USA,INR,319.12113388605417
2009,5,Soybeans,USA,CNY,381.1643745126876
2005,6,Rice,USA,USD,224.13273339337385
2021,1,Soybeans,China,BRL,197.783893430654
2013,9,Corn,USA,BRL,496.13118720511477
2001,10,Soybeans,India,INR,57.04600586175997
2014,12,Corn,China,INR,294.35268200616406
2000,3,Wheat,USA,CNY,479.2942381862563
2006,2,Rice,India,USD,313.6835717752699
2015,5,Wheat,India,BRL,158.68806755995712
2010,2,Wheat,China,INR,154.79366905952446
2021,9,Wheat,China,BRL,249.06138388898273
2001,4,Soybeans,China,CNY,264.73975554874
2018,8,Corn,China,INR,422.8043295591857
2021,9,Wheat,Brazil,CNY,468.6936446879455
2012,5,Soybeans,India,CNY,389.6250522281109
2005,1,Soybeans,China,BRL,107.70744136956999
2016,3,Rice,USA,INR,98.64073825135031
2002,9,Corn,China,BRL,463.41170991113773
2020,7,Wheat,China,BRL,146.27704793930138
2003,7,Soybeans,China,USD,323.62700573551126
2005,11,Corn,China,BRL,341.89087692154
2007,10,Wheat,India,INR,396.81384540566194
2004,9,Soybeans,Brazil,BRL,194.43143523040516
2001,4,Soybeans,China,BRL,346.9104310069089
2013,1,Corn,Brazil,USD,58.69722998410428
2003,11,Soybeans,USA,INR,95.20427249337719
2017,9,Corn,USA,CNY,288.7633694222794
2000,7,Rice,USA,CNY,257.87057971607703
2012,5,Corn,China,USD,460.8753718654109
2001,11,Rice,India,BRL,424.25876935336646
2000,9,Rice,India,USD,79.95067334794332
2008,6,Corn,USA,INR,140.99279421200953
2003,12,Corn,China,BRL,492.9169227281926
2009,3,Wheat,India,BRL,205.22966014109144
2008,5,Rice,China,INR,468.61444887520025
2006,2,Rice,Brazil,USD,240.73413089830288
2008,9,Corn,USA,BRL,153.78928460579226
2018,10,Rice,China,INR,190.88172779176517
2012,1,Corn,Brazil,USD,376.80765538171266
2018,3,Rice,USA,USD,169.5941983102993
2000,7,Rice,China,CNY,284.62156233097016
2006,7,Soybeans,USA,USD,75.85489847009143
2004,10,Wheat,China,CNY,441.26113395081086
2023,4,Soybeans,USA,BRL,251.15282909175136
2023,8,Wheat,China,INR,332.7844363589248
2006,7,Corn,Brazil,BRL,327.65944884557774
2019,2,Rice,India,CNY,361.88054859654164
2006,2,Rice,Brazil,INR,56.11364564937664
2020,6,Corn,USA,CNY,82.63427028013129
2018,3,Soybeans,China,USD,172.23582403992953
2008,5,Rice,USA,BRL,436.04935683816313
2019,1,Soybeans,USA,BRL,464.8366548583128
2007,1,Wheat,USA,BRL,323.3819616399604
2000,9,Soybeans,Brazil,BRL,220.26576936082662
2000,7,Corn,USA,BRL,131.6474247913706
2009,3,Soybeans,USA,INR,253.73034196320845
2017,3,Corn,China,INR,481.00885640351686
2011,12,Soybeans,India,INR,117.26748548346497
2001,2,Wheat,India,CNY,146.75057314187234
2011,6,Rice,India,BRL,221.06112355974957
2013,2,Corn,Brazil,USD,305.33093819351524
2002,4,Wheat,Brazil,CNY,175.94333099577932
2008,10,Corn,USA,USD,287.2553771172423
2010,4,Wheat,China,CNY,269.2108085117564
2003,5,Wheat,India,USD,408.68242341095896
2006,1,Rice,USA,USD,221.76841167031154
2000,6,Wheat,Brazil,USD,433.9337668314076
2015,1,Soybeans,USA,INR,118.25701456452406
2003,11,Wheat,Brazil,CNY,149.2032764505833
2019,11,Rice,China,INR,428.8434074607887
2004,4,Soybeans,China,INR,484.4640699190298
2014,4,Corn,India,CNY,409.66453030695385
2019,3,Wheat,India,INR,481.8775562744057
2019,6,Rice,USA,INR,88.92580322892468
2022,9,Rice,Brazil,INR,181.13222167120387
2011,10,Corn,Brazil,BRL,229.47939801466296
2009,9,Soybeans,USA,BRL,67.46941486148805
2000,8,Rice,USA,INR,386.37351048419475
2013,8,Rice,USA,USD,215.66917516077459
2017,1,Soybeans,USA,INR,232.33830298449064
2016,4,Corn,USA,BRL,460.34686508636497
2002,6,Rice,China,CNY,172.70559537502015
2000,9,Corn,India,CNY,499.6651052433601
2002,1,Wheat,Brazil,CNY,54.89113682733793
2022,11,Soybeans,Brazil,CNY,330.2445748187263
2015,6,Soybeans,USA,USD,401.1251929806549
2009,9,Wheat,India,INR,76.18383977317706
2004,10,Corn,India,BRL,427.6901540164529
2010,3,Rice,Brazil,INR,411.6016298987836
2023,2,Wheat,Brazil,CNY,258.4956405224907
2020,2,Soybeans,Brazil,USD,134.59358535955528
2016,4,Wheat,Brazil,INR,318.5910789788248
2005,6,Corn,China,USD,432.28129898825415
2012,3,Wheat,China,USD,202.33948954330305
2020,2,Wheat,India,BRL,98.76545547656468
2006,11,Soybeans,Brazil,BRL,310.2337597815481
2020,3,Rice,India,CNY,125.07595416832487
2021,2,Soybeans,India,CNY,387.0274393938016
2012,3,Rice,China,USD,448.6240437969092
2008,1,Corn,USA,BRL,152.5212366200601
2010,3,Soybeans,China,BRL,321.19075551810977
2008,6,Wheat,India,CNY,486.40588298978287
2016,7,Corn,India,BRL,477.0507860818512
2005,4,Wheat,China,CNY,148.61109640687272
2004,2,Rice,Brazil,USD,301.1372150630902
2001,12,Corn,China,BRL,288.1090343556836
2007,5,Corn,India,INR,50.35753190162743
2017,9,Wheat,USA,USD,281.4069216232044
2004,5,Soybeans,China,BRL,184.37311279297617
2022,1,Soybeans,India,INR,235.20549015759974
2015,11,Soybeans,USA,INR,328.0685135406243
2021,12,Rice,India,CNY,401.82422576196456
2015,3,Corn,Brazil,INR,245.45802602316888
2002,9,Rice,USA,CNY,53.206633882594886
2004,8,Corn,India,USD,255.88497398155496
2009,8,Corn,China,BRL,221.12491734397236
2015,11,Wheat,India,CNY,478.9960766459385
2004,3,Corn,Brazil,BRL,322.99304160778115
2000,6,Rice,China,USD,377.25878338103416
2002,4,Rice,India,USD,394.0278764665224
2020,9,Corn,USA,USD,396.03630140292506
2019,5,Soybeans,India,INR,318.02037761782674
2002,7,Soybeans,India,INR,280.26558048944577
2003,4,Rice,India,USD,211.1302626993867
2019,1,Corn,USA,CNY,436.9735288144078
2007,1,Rice,China,INR,424.2599623412766
2001,2,Wheat,Brazil,BRL,55.42998899782998
2009,3,Soybeans,China,USD,347.122337564441
2004,12,Wheat,USA,INR,284.6129055087668
2004,2,Rice,USA,INR,71.56150596548588
2010,6,Wheat,India,CNY,274.55677179814165
2011,4,Corn,USA,USD,260.94232313404757
2022,1,Rice,China,USD,473.0106620680392
2018,3,Wheat,India,CNY,206.0861324687973
2000,11,Soybeans,India,INR,203.45583237679116
2003,7,Corn,USA,CNY,147.93067948146856
2021,3,Corn,China,INR,360.3967033360376
2015,4,Rice,India,USD,57.60143505430217
2002,5,Wheat,USA,USD,52.15598676928636
2010,7,Corn,China,BRL,183.54390635054068
2022,10,Soybeans,India,INR,315.98705565376025
2000,4,Wheat,India,CNY,333.27929285637146
2007,8,Rice,USA,USD,147.32051880806029
2022,6,Soybeans,China,CNY,342.84257220466054
2001,6,Corn,India,BRL,494.6052984775513
2011,2,Soybeans,China,BRL,125.42231997721902
2008,2,Soybeans,USA,BRL,108.67588861937614
2002,5,Rice,USA,USD,453.19337323847947
2017,5,Corn,USA,INR,222.06078452278234
2023,9,Wheat,USA,BRL,427.06879889219215
2019,3,Wheat,India,USD,382.55459128806797
2017,4,Corn,India,CNY,375.78743733707546
2010,4,Wheat,China,INR,182.70451191086113
2010,5,Corn,China,BRL,499.69277554672874
2006,7,Rice,USA,BRL,194.20772481097933
2011,11,Rice,India,BRL,431.62871390993905
2007,11,Rice,China,CNY,269.60730962993307
2012,5,Rice,Brazil,USD,380.9724171682676
2011,10,Soybeans,USA,BRL,337.2413612962437
2017,4,Corn,USA,USD,163.33461340465598
2000,7,Corn,USA,USD,177.58120770638132
2004,11,Corn,Brazil,USD,344.2102651309165
2005,4,Rice,USA,CNY,400.6939530603024
2009,11,Rice,China,CNY,100.32264324168554
2020,7,Wheat,USA,INR,488.6172814405
2022,2,Corn,China,BRL,118.73310784278974
2007,10,Soybeans,USA,CNY,411.9120796554402
2022,12,Rice,India,INR,307.73705114985216
2023,3,Rice,India,USD,281.9341240578665
2005,12,Corn,USA,CNY,70.46833451586261
2013,2,Soybeans,India,USD,477.54457135076757
2000,4,Rice,Brazil,CNY,467.11644662938954
2006,12,Corn,USA,BRL,64.90626800226231
2022,11,Soybeans,Brazil,CNY,302.20232968764344
2007,7,Corn,Brazil,CNY,386.8462150227333
2011,5,Soybeans,USA,INR,372.95648227889444
2010,6,Soybeans,Brazil,CNY,106.02603532475311
2017,1,Soybeans,China,INR,298.7204508162271
2004,10,Wheat,China,BRL,231.96706142969268
2012,4,Soybeans,Brazil,BRL,341.92970103126515
2016,9,Rice,India,USD,98.31626047253107
2001,8,Corn,Brazil,CNY,402.6426500411568
2015,2,Corn,China,CNY,182.25575708162256
2000,2,Corn,USA,INR,358.4284700190336
2012,1,Rice,Brazil,USD,334.3858912710599
2000,3,Soybeans,Brazil,INR,92.60267358280325
2020,10,Rice,India,CNY,493.0194104569757
2016,5,Wheat,India,CNY,269.6694507008446
2004,7,Wheat,USA,USD,301.9073348649181
2022,11,Soybeans,India,USD,200.09768343204271
2022,6,Soybeans,India,USD,239.7885931549992
2018,10,Wheat,USA,USD,118.55413492432298
2011,6,Soybeans,Brazil,BRL,351.40819354019663
2006,11,Rice,India,INR,393.33453578078553
2007,6,Wheat,Brazil,BRL,361.40240766272854
2016,12,Soybeans,China,CNY,98.27761530975178
2014,9,Corn,India,INR,356.3973517055842
2007,6,Rice,India,CNY,59.37871427501612
2013,9,Wheat,USA,CNY,379.4230649521717
2010,9,Rice,China,BRL,197.93775108055385
2002,5,Soybeans,China,CNY,99.33905864035322
2003,12,Corn,China,BRL,474.70623184027744
2018,6,Wheat,India,USD,315.0364311779854
2005,2,Rice,Brazil,CNY,108.206154213634
2011,6,Soybeans,USA,USD,387.56664376260466
2018,9,Wheat,USA,BRL,97.71026470743912
2000,6,Corn,China,BRL,395.7539533002172
2010,12,Rice,USA,USD,421.2837461674234
2009,3,Corn,Brazil,BRL,356.93438251213587
2014,12,Soybeans,Brazil,INR,148.76195061137298
2005,6,Wheat,Brazil,USD,217.45884044081518
2014,7,Soybeans,India,BRL,345.6110661374425
2004,6,Soybeans,Brazil,CNY,351.59581543892966
2014,4,Soybeans,USA,INR,353.0497700898183
2014,2,Soybeans,Brazil,BRL,446.3809773995584
2006,11,Wheat,Brazil,CNY,109.60147882205442
2004,9,Wheat,China,USD,213.17488819182327
2020,9,Corn,China,BRL,207.2812745833303
2012,9,Rice,China,CNY,135.77920747934297
2006,6,Soybeans,USA,USD,299.2318213798852
2011,5,Rice,USA,INR,173.80291869645123
2020,10,Wheat,USA,CNY,53.00057944562965
2015,2,Wheat,Brazil,BRL,386.79244322028677
2009,10,Rice,China,INR,435.51225098595233
2007,8,Corn,Brazil,USD,228.83668046426956
2021,5,Corn,USA,BRL,301.4076237047503
2021,5,Rice,Brazil,BRL,94.0936639407846
2023,8,Soybeans,India,INR,380.78408167770544
2010,7,Rice,Brazil,CNY,178.7847328930068
2000,8,Rice,Brazil,CNY,201.5678551901079
2010,7,Rice,USA,USD,128.48907546660038
2005,11,Wheat,China,BRL,69.57231235670652
2012,8,Rice,USA,BRL,337.99218384315265
2019,2,Corn,China,CNY,185.57820369328485
2022,8,Rice,India,BRL,351.93098994260225
2004,2,Soybeans,China,CNY,58.49480050399748
2018,3,Rice,China,INR,172.41051956419005
2004,1,Soybeans,Brazil,USD,299.9672348770458
2010,6,Wheat,India,INR,476.8522868826027
2022,9,Wheat,India,BRL,438.46754602382345
2015,11,Soybeans,USA,INR,337.03463916872823
2016,12,Wheat,India,BRL,293.90837565114657
2008,6,Corn,China,BRL,232.44813292372925
2023,9,Wheat,China,BRL,214.98362146289915
2005,2,Corn,USA,CNY,314.55285015499675
2019,1,Corn,USA,USD,295.05150782978035
2006,8,Soybeans,China,INR,196.8375705684123
2020,3,Corn,USA,USD,314.75807996944206
2006,4,Rice,Brazil,BRL,228.96166974777364
2007,8,Corn,India,USD,116.65044873308723
2012,2,Soybeans,Brazil,INR,329.98550157869107
2005,1,Wheat,India,BRL,455.2215451629301
2007,12,Rice,India,INR,344.89212548143166
2007,8,Soybeans,Brazil,INR,276.47099225953843
2011,3,Wheat,Brazil,CNY,267.9163608973049
2019,4,Corn,India,BRL,294.6480431020741
2007,6,Soybeans,India,INR,203.08015104182127
2002,8,Soybeans,China,CNY,135.51114730252957
2001,7,Corn,Brazil,USD,478.1056052138227
2001,8,Wheat,USA,USD,297.2426389209504
2017,8,Wheat,India,USD,119.93102367017443
2010,4,Rice,China,CNY,491.7956179112187
2019,8,Corn,China,BRL,463.13172614147595
2012,11,Rice,China,BRL,492.97095709149846
2002,5,Wheat,Brazil,BRL,316.28259910442705
2006,1,Rice,USA,INR,378.13087373125273
2006,11,Wheat,Brazil,BRL,63.12947258515299
2008,12,Wheat,India,BRL,302.26546781172965
2006,7,Rice,China,USD,65.21352299560446
2006,2,Corn,China,CNY,269.65881911389397
2016,8,Soybeans,USA,CNY,462.9952074075425
2005,1,Soybeans,India,CNY,404.7994997704032
2003,5,Wheat,USA,CNY,317.5186811151977
2006,5,Soybeans,USA,BRL,264.64986920502133
2022,3,Soybeans,India,CNY,145.79992943373043
2023,10,Soybeans,China,BRL,218.12000910332188
2012,7,Soybeans,Brazil,BRL,146.48989389998218
2011,2,Corn,Brazil,BRL,420.61407801675676
2016,1,Corn,Brazil,INR,442.56189474017816
2017,7,Corn,India,USD,320.07739946257624
2003,6,Wheat,Brazil,USD,397.0815122835199
2016,2,Corn,USA,INR,339.9454362387002
2000,5,Soybeans,Brazil,INR,200.22411198975107
2019,5,Wheat,China,CNY,346.65824357765916
2005,12,Soybeans,USA,USD,83.6397598267782
2018,6,Wheat,Brazil,CNY,225.27098572495075
2010,2,Corn,China,BRL,452.83856185064315
2010,9,Rice,China,BRL,302.6080585786103
2022,9,Soybeans,China,BRL,300.05537605634925
2011,11,Soybeans,India,USD,324.17685347838886
2006,1,Corn,China,USD,128.72327643540905
2022,9,Wheat,India,USD,255.17527786293294
2011,5,Soybeans,USA,CNY,218.36337027626442
2003,7,Soybeans,USA,CNY,90.71365737955382
2021,5,Rice,India,CNY,394.4895719806794
2021,1,Soybeans,Brazil,BRL,446.566419510931
2010,9,Wheat,India,CNY,155.16387335985593
2009,11,Corn,China,CNY,449.07839751571794
2005,4,Rice,USA,CNY,446.6644919499425
2006,6,Wheat,USA,CNY,364.63000705596784
2005,10,Wheat,China,BRL,272.8247629774605
2018,6,Soybeans,USA,CNY,87.67559484244711
2001,8,Soybeans,India,CNY,389.0196981450956
2020,11,Corn,USA,INR,428.6733848488892
2016,11,Rice,Brazil,CNY,463.1091397700645
2010,1,Rice,China,BRL,137.33012990914796
2020,7,Corn,Brazil,INR,191.45836213909251
2003,9,Corn,Brazil,CNY,50.469273515857836
2015,5,Rice,USA,USD,259.48383777071035
2020,12,Soybeans,China,INR,342.09510504098154
2011,12,Soybeans,USA,INR,155.50790042132505
2008,3,Soybeans,India,CNY,405.50174113054936
2006,1,Wheat,China,INR,485.22020865131515
2009,9,Corn,India,INR,125.78013968197028
2011,11,Corn,China,USD,316.4426572959853
2006,7,Rice,China,INR,190.41055160767698
2008,1,Corn,India,USD,352.06042278584914
2018,3,Rice,India,BRL,469.6953021487041
2006,1,Wheat,China,USD,438.5643650266555
2007,1,Corn,USA,USD,112.54348015897719
2003,2,Rice,USA,USD,344.8799267245259
2001,8,Wheat,Brazil,BRL,194.31738239529713
2000,11,Corn,USA,USD,248.83327633503973
2003,5,Soybeans,Brazil,USD,485.62060547874046
2000,2,Wheat,China,INR,281.4992937553919
2014,6,Soybeans,USA,INR,204.26793173761985
2023,9,Rice,Brazil,BRL,485.57595554958345
2016,12,Corn,Brazil,CNY,64.0637653167831
2004,5,Rice,Brazil,USD,105.33797210296709
2012,11,Soybeans,China,USD,200.9539433597078
2013,7,Wheat,India,CNY,319.2922506692181
2015,3,Corn,Brazil,CNY,131.7783845011897
2004,7,Wheat,China,USD,79.0061783148605
2022,2,Corn,Brazil,BRL,396.83192872869523
2012,10,Soybeans,USA,CNY,363.1669056239688
2005,4,Soybeans,China,INR,303.34323374968153
2020,9,Wheat,China,BRL,412.6307281992614
2014,3,Rice,India,BRL,271.4209627829822
2004,10,Wheat,Brazil,CNY,469.22338713069325
2008,6,Rice,Brazil,USD,319.653667691678
2018,3,Rice,Brazil,BRL,463.6292776464696
2013,10,Rice,USA,CNY,349.6702760638556
2009,8,Corn,USA,BRL,118.29324757878813
2013,8,Corn,USA,INR,164.22700233651085
2019,4,Rice,Brazil,BRL,279.14521589652435
2019,8,Rice,USA,CNY,362.04425939140515
2005,3,Corn,USA,BRL,166.53055070197672
2003,4,Wheat,Brazil,USD,328.71081331536925
2008,2,Rice,USA,BRL,336.79441187892456
2011,1,Wheat,China,CNY,408.10686840181734
2003,6,Wheat,Brazil,INR,179.53702079945955
2014,2,Soybeans,USA,INR,363.60859547097306
2023,8,Soybeans,USA,CNY,345.02820679372877
2015,9,Wheat,India,USD,290.9596373208369
2002,12,Soybeans,USA,INR,184.24569160770244
2013,9,Corn,China,INR,119.9386083387084
2010,12,Rice,China,INR,445.7248662676918
2003,11,Rice,China,INR,154.47359411875817
2018,1,Corn,USA,INR,115.53907755929649
2018,9,Rice,Brazil,BRL,362.5625790357859
2013,11,Wheat,India,USD,315.93559483265636
2018,8,Soybeans,China,CNY,83.0930729647113
2021,8,Wheat,China,USD,434.7649102485995
2007,5,Rice,Brazil,CNY,331.4212497852984
2014,2,Rice,China,INR,108.54498082702854
2004,11,Wheat,India,CNY,79.40131605369014
2016,7,Rice,India,BRL,387.43487389857876
2020,3,Rice,China,INR,170.37693729214095
2004,4,Wheat,Brazil,BRL,184.80673389844367
2021,8,Soybeans,India,USD,420.4146667165978
2012,5,Soybeans,Brazil,CNY,185.38676392046878
2008,5,Rice,India,INR,183.36393359277352
2014,12,Wheat,USA,BRL,53.701790291476826
2020,6,Wheat,USA,USD,111.90801154889559
2000,12,Rice,Brazil,INR,390.1074251040867
2014,8,Wheat,Brazil,USD,302.6565229380734
2008,3,Corn,Brazil,USD,173.65100935424653
2014,4,Rice,USA,CNY,52.76319708490316
2023,7,Soybeans,Brazil,BRL,123.3580025621627
2021,8,Wheat,India,USD,165.2703172058567
2020,6,Wheat,China,USD,64.82342898527314
2021,3,Rice,Brazil,BRL,444.4955134497511
2022,11,Rice,India,INR,253.46600948197178
2008,7,Corn,China,INR,93.61079816100427
2010,1,Corn,USA,CNY,203.3671132463437
2002,7,Rice,India,USD,233.64137426164007
2022,4,Corn,Brazil,BRL,162.2655536486774
2019,9,Wheat,USA,INR,153.54546201214896
2018,3,Soybeans,Brazil,BRL,438.01779106388693
2022,8,Wheat,Brazil,CNY,73.89956300705117
2019,7,Soybeans,USA,CNY,82.1281486268718
2007,11,Wheat,USA,USD,427.47398529287875
2002,7,Soybeans,India,INR,150.56004651606963
2001,11,Soybeans,China,USD,322.19312542437456
2012,8,Rice,USA,BRL,279.83426290775867
2018,6,Soybeans,USA,CNY,85.66797897410169
2009,11,Soybeans,China,USD,383.50596531060626
2011,9,Wheat,India,CNY,85.00669474218384
2019,5,Soybeans,USA,INR,448.5309392269734
2007,5,Rice,India,INR,230.74220891213756
2000,4,Wheat,Brazil,CNY,235.89857594456987
2014,9,Wheat,China,INR,110.04073135543311
2015,12,Rice,USA,USD,185.02625735155422
2017,6,Wheat,China,INR,84.6199678197717
2015,11,Soybeans,India,INR,99.24184915591188
2002,4,Corn,Brazil,USD,385.6218027161553
2023,1,Soybeans,Brazil,INR,332.8921870212369
2000,4,Wheat,China,CNY,323.8845710531071
2016,9,Soybeans,USA,BRL,207.47392946180818
2001,3,Soybeans,USA,CNY,478.0298050830691
2023,12,Rice,Brazil,USD,391.0606143849724
2010,12,Wheat,Brazil,CNY,127.32543339335963
2020,3,Soybeans,USA,CNY,444.1089886711789
2020,2,Rice,China,USD,182.76034090880788
2021,6,Wheat,USA,INR,137.56995056056465
2023,10,Wheat,USA,INR,205.198228031491
2019,4,Wheat,USA,INR,54.79843848380003
2016,2,Corn,China,CNY,300.1517442325737
2011,6,Rice,Brazil,USD,453.7200892448063
2008,6,Corn,India,USD,246.06850960951095
2012,2,Rice,USA,CNY,355.356554798973
2001,8,Wheat,USA,CNY,287.61878245636393
2023,2,Rice,China,INR,412.3400791548218
2022,3,Rice,China,USD,230.49220197139255
2010,6,Soybeans,India,BRL,380.9484184786879
2008,12,Corn,India,INR,331.9346671302258
2015,9,Soybeans,China,INR,465.4662329180507
2018,11,Rice,Brazil,INR,243.42970457202378
2000,4,Rice,USA,INR,167.9045452515777
2022,4,Wheat,Brazil,CNY,349.8887322408354
2011,11,Soybeans,China,INR,99.8931521793588
2011,2,Corn,China,USD,78.19119947215593
2005,8,Wheat,Brazil,CNY,144.76050534092735
2000,5,Soybeans,India,INR,105.23233845984933
2001,11,Rice,USA,USD,283.8009648456807
2002,1,Wheat,India,BRL,442.8545682875679
2005,6,Corn,China,BRL,125.4292505553705
2017,11,Soybeans,Brazil,USD,87.20071306662075
2020,2,Soybeans,Brazil,USD,300.76006596417915
2013,2,Corn,India,CNY,317.0241853388672
2007,8,Rice,China,USD,442.15917805036617
2003,6,Soybeans,USA,CNY,383.2186978928518
2013,9,Wheat,Brazil,INR,409.8458332075929
2016,1,Rice,USA,USD,228.18866125692904
2015,9,Rice,India,CNY,180.71340035360907
2020,9,Corn,USA,USD,381.7885155307589
2013,3,Soybeans,USA,INR,296.8728878075294
2016,5,Soybeans,USA,USD,155.50748204697953
2004,1,Corn,USA,BRL,307.6257011370996
2014,8,Wheat,USA,USD,298.2130621566944
2016,8,Soybeans,USA,INR,111.36381142779013
2020,12,Soybeans,China,USD,406.8498136288122
2000,11,Rice,Brazil,USD,149.38760211188867
2006,7,Wheat,India,BRL,448.74856574785616
2013,5,Soybeans,Brazil,INR,462.85876905530347
2023,3,Wheat,China,USD,442.86537617987284
2017,8,Wheat,India,USD,350.26761999427066
2015,10,Soybeans,India,USD,374.5437483845368
2001,3,Corn,Brazil,USD,466.2811790850714
2019,10,Soybeans,India,USD,285.24075288410813
2020,1,Wheat,Brazil,CNY,67.0726175501461
2005,5,Rice,China,INR,463.5629769216409
2014,1,Wheat,China,INR,110.69850296962505
2014,5,Rice,India,USD,79.9112442736652
2023,10,Soybeans,Brazil,CNY,182.8893171844999
2014,9,Wheat,USA,BRL,66.15267337362252
2016,8,Corn,USA,INR,278.35021264742454
2001,10,Rice,China,CNY,84.45725696572532
2012,1,Rice,Brazil,BRL,341.00560461774995
2023,9,Soybeans,Brazil,INR,284.59967480299633
2015,5,Soybeans,Brazil,USD,302.19564439241583
2008,12,Corn,China,BRL,345.8712915456363
2013,9,Rice,USA,USD,171.6157544539842
2023,2,Rice,USA,USD,480.69801832678917
2019,7,Wheat,India,CNY,445.991406101833
2003,4,Soybeans,China,INR,112.19280336576907
2009,10,Wheat,India,BRL,222.14302816938488
2006,3,Wheat,USA,CNY,347.32075088552034
2006,6,Corn,India,INR,367.2990215422671
2013,6,Rice,India,BRL,430.5584935270008
2010,9,Rice,USA,INR,336.9475747242513
2005,7,Corn,India,USD,215.25228984591348
2004,12,Soybeans,India,CNY,239.88944151885573
2016,12,Rice,Brazil,BRL,311.7424229877671
2007,10,Corn,India,USD,282.32845326929436
2000,1,Wheat,USA,USD,376.0777748160406
2022,9,Corn,Brazil,CNY,410.63317641112985
2012,12,Wheat,Brazil,INR,355.2037960847802
2010,7,Wheat,Brazil,USD,470.3863024564852
2004,12,Wheat,USA,INR,384.9007688033853
2008,2,Wheat,USA,CNY,91.65993458559525
2009,2,Soybeans,China,CNY,296.68926558686985
2007,1,Soybeans,India,USD,319.46152908767044
2022,8,Soybeans,USA,INR,426.42934021189717
